unit_id,shift,supplier_offspec_batch,fault_A_active,fault_B_active,fault_C_active,defect,defect_source_station
1,Day,False,False,False,False,False,
2,Day,False,False,False,False,False,
3,Day,False,False,False,False,False,
4,Day,False,False,False,False,False,
5,Day,False,False,False,False,False,
6,Day,False,False,False,False,False,
7,Day,False,False,False,False,False,
8,Day,False,False,False,False,False,
9,Day,False,False,False,False,False,
10,Day,False,False,False,False,False,
11,Day,False,False,False,False,False,
12,Day,False,False,False,False,False,
13,Day,False,False,False,False,False,
14,Day,False,False,False,False,False,
15,Day,False,False,False,False,False,
16,Day,False,False,False,False,False,
17,Day,False,False,False,False,False,
18,Day,False,False,False,False,False,
19,Day,False,False,False,False,False,
20,Day,False,False,False,False,False,
21,Day,False,False,False,False,False,
22,Day,False,False,False,False,False,
23,Day,False,False,False,False,False,
24,Day,False,False,False,False,False,
25,Day,False,False,False,False,False,
26,Day,False,False,False,False,False,
27,Day,False,False,False,False,False,
28,Day,False,False,False,False,False,
29,Day,False,False,False,False,False,
30,Day,False,False,False,False,False,
31,Day,False,False,False,False,False,
32,Day,False,False,False,False,False,
33,Day,False,False,False,False,False,
34,Day,False,False,False,False,False,
35,Day,False,False,False,False,False,
36,Day,False,False,False,False,False,
37,Day,False,False,False,False,False,
38,Day,False,False,False,False,False,
39,Day,False,False,False,False,False,
40,Day,False,False,False,False,False,
41,Day,False,False,False,False,False,
42,Day,False,False,False,False,False,
43,Day,False,False,False,False,False,
44,Day,False,False,False,False,False,
45,Day,False,False,False,False,False,
46,Day,False,False,False,False,False,
47,Day,False,False,False,False,False,
48,Day,False,False,False,False,False,
49,Day,False,False,False,False,False,
50,Day,False,False,False,False,False,
51,Day,False,False,False,False,False,
52,Day,False,False,False,False,False,
53,Day,False,False,False,False,False,
54,Day,False,False,False,False,False,
55,Day,False,False,False,False,False,
56,Day,False,False,False,False,False,
57,Day,False,False,False,False,False,
58,Day,False,False,False,False,False,
59,Day,False,False,False,False,False,
