unit_id,station_id,station_name,zone,tier,shift,vibration,torque,temperature,cycle_time,checklist_pass
1,1,Underbody Framing,Body Construction,rich,Day,0.87,42.44,23.79,56.35,
1,2,Side Panel Load,Body Construction,rich,Day,0.942,39.81,23.91,56.48,
1,3,Robotic Weld Cell A,Body Construction,rich,Day,0.899,39.29,24.56,54.97,
1,4,Robotic Weld Cell B,Body Construction,rich,Day,0.897,41.07,23.84,58.25,
1,5,Roof Bow Fit,Body Construction,rich,Day,0.899,40.93,23.38,59.0,
1,6,Door Hang,Body Construction,rich,Day,0.697,36.74,23.85,57.68,
1,7,Bolt Fastening Torque,Body Construction,rich,Day,1.169,45.18,23.6,55.37,
1,8,Geometry Check,Body Construction,rich,Day,0.925,40.79,23.92,55.88,
1,9,Robotic Weld Cell C,Body Construction,rich,Day,0.984,40.83,23.5,56.66,
1,10,Sealer Application,Body Construction,rich,Day,0.904,38.31,24.12,56.89,
1,11,Body Squareness Gauge,Body Construction,basic,Day,,,,55.44,
1,12,Weld Arm Bearing Station,Body Construction,rich,Day,1.013,39.05,23.94,58.93,
1,13,Panel Fit Inspection,Body Construction,manual,Day,,,,53.32,True
1,14,Hem Flange Press,Body Construction,basic,Day,,,,57.71,
1,15,Body-in-White Buyoff,Body Construction,manual,Day,,,,53.08,True
1,16,Pretreatment Dip,Paint,basic,Day,,,167.5,59.0,
1,17,E-Coat Bath,Paint,rich,Day,0.993,,165.43,60.84,
1,18,Sealer Booth,Paint,manual,Day,,,,59.42,True
1,19,Primer Booth,Paint,rich,Day,0.892,,164.1,65.5,
1,20,Basecoat Robot,Paint,rich,Day,0.783,,168.63,62.23,
1,21,Clearcoat Robot,Paint,rich,Day,0.894,,162.38,61.45,
1,22,Flash-Off Tunnel,Paint,basic,Day,,,160.78,61.28,
1,23,Cure Oven Conveyor,Paint,basic,Day,,,164.49,65.12,
1,24,Paint Inspection Booth,Paint,manual,Day,,,,64.53,True
1,25,Buff & Polish,Paint,basic,Day,,,,61.14,
